candidate_id,final_score,signal_score,career_signal,skills_signal,strong_hits,medium_hits,assessment_bonus,recruiter_bonus,assessment_count,assessment_avg,assessment_max,saved_by_recruiters_30d,recruiter_response_rate,open_to_work,last_active_days,notice_period_days,years_of_experience,current_title,current_company,is_honeypot,honeypot_reason,consulting_only,exp_inflation_level,exp_inflation_gap_yrs,exp_inflation_evidence,has_degree_mismatch,has_deg_duration_anomaly,deg_duration_evidence,has_anach_institution,anach_inst_evidence,has_dur_contradiction
CAND_0086151,389.73,189.0,164,25.0,collaborative filtering|learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,57.22,98.0,3,71.2,83.7,55,0.52,True,90,120,7.7,Recommendation Systems Engineer,Wysa,False,,False,none,0.12,,False,False,,False,,False
CAND_0046525,381.98,166.6,146,20.6,learning-to-rank|mrr|ndcg,bm25|ranking,73.12,83.25,5,84.6,96.5,38,0.88,True,29,60,6.1,Senior Machine Learning Engineer,Genpact AI,False,,False,none,0.02,,False,False,,False,,False
CAND_0008425,365.72,162.0,124,38.0,learning-to-rank|ndcg,bm25|ranking|recommendation|semantic search,50.68,99.05,1,77.8,77.8,55,0.66,True,57,90,7.8,Senior NLP Engineer,Ola,False,,False,none,0.13,,False,False,,False,,False
CAND_0006567,322.04,74.0,60,14.0,information retrieval|personalization,ranking,64.58,124.9,4,76.5,89.9,76,0.79,True,49,60,7.9,Senior AI Engineer,Meta,False,,False,none,0.07,,False,False,,False,,False
CAND_0041669,316.27,158.2,129,29.2,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,56.7,82.1,2,79.9,83.7,37,0.77,True,76,60,8.0,Recommendation Systems Engineer,CRED,False,,False,none,0.08,,False,False,,False,,False
CAND_0043228,310.45,153.8,126,27.8,learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|semantic search,66.52,102.85,5,74.5,83.6,65,0.41,False,30,30,6.8,Applied ML Engineer,Zoho,False,,False,none,0.13,,False,False,,False,,False
CAND_0081686,308.93,173.2,164,9.2,collaborative filtering|learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,61.76,97.05,4,71.5,85.9,47,0.91,False,57,60,6.0,Search Engineer,Netflix,False,,False,none,0.08,,False,False,,False,,False
CAND_0055905,306.81,186.4,162,24.4,learning-to-rank|mrr|ndcg,bm25|ranking|semantic search|vector search,60.51,51.9,4,69.8,83.0,13,0.87,True,35,30,8.1,Senior Machine Learning Engineer,Flipkart,False,,False,none,0.1,,False,False,,False,,False
CAND_0071974,300.4,133.6,86,47.6,collaborative filtering|learning-to-rank,ranking|recommendation,65.21,98.75,4,79.7,86.7,50,0.76,True,66,45,7.8,Senior AI Engineer,Netflix,False,,False,none,0.13,,False,True,'M.Sc' at 'NIT Warangal': claimed 4 yrs (max expected 3),False,,False
CAND_0079387,281.36,127.0,94,33.0,collaborative filtering,bm25|elasticsearch|ranking|recommendation|semantic search,64.98,62.15,5,69.5,85.8,22,0.81,True,57,30,6.9,AI Engineer,Microsoft,False,,False,none,0.15,,False,False,,False,,False
CAND_0084819,280.1,127.8,94,33.8,learning-to-rank|search engineer,click-through|ranking,64.82,100.8,4,77.3,89.4,50,0.74,True,43,120,4.5,Search Engineer,Dream11,False,,False,none,0.08,,False,False,,False,,False
CAND_0070485,276.56,151.6,136,15.6,learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,52.67,76.4,4,58.5,66.4,45,0.45,True,80,120,6.4,Search Engineer,Saarthi.ai,False,,False,none,0.07,,False,False,,False,,False
CAND_0066376,275.76,130.8,91,39.8,collaborative filtering,bm25|elasticsearch|ranking|recommendation|semantic search,54.36,102.6,2,75.0,81.8,59,0.51,True,49,90,5.7,Applied ML Engineer,Dream11,False,,False,none,0.12,,False,False,,False,,False
CAND_0020708,275.63,112.6,88,24.6,search engineer,bm25|elasticsearch|recommendation|semantic search,42.64,101.1,1,64.4,64.4,52,0.84,True,88,30,4.2,Search Engineer,PolicyBazaar,False,,False,none,0.03,,False,False,,False,,False
CAND_0028793,269.2,138.6,112,26.6,search engineer,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,61.82,85.85,3,80.2,88.7,43,0.57,True,69,120,7.2,Search Engineer,Google,False,,False,none,0.12,,True,False,,False,,False
CAND_0049538,266.05,100.2,63,37.2,learning-to-rank,click-through|ranking|recommendation,65.56,100.05,5,70.6,86.7,60,0.72,False,25,30,5.8,Applied ML Engineer,Saarthi.ai,False,,False,none,0.13,,False,False,,False,,False
CAND_0041568,263.03,155.6,129,26.6,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,61.48,77.95,4,70.8,85.8,43,0.52,True,76,90,5.2,Search Engineer,Haptik,False,,False,none,0.12,,False,True,'M.Tech' at 'IIT Kharagpur': claimed 5 yrs (max expected 3),False,,False
CAND_0013613,262.88,103.8,99,4.8,collaborative filtering,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,63.17,95.9,4,73.4,89.1,51,0.73,True,90,60,4.7,Machine Learning Engineer,Adobe,False,,False,none,0.12,,False,False,,False,,False
CAND_0052195,260.56,56.0,45,11.0,collaborative filtering,ranking|recommendation,48.3,84.9,2,63.1,75.3,45,0.69,True,48,30,6.3,Computer Vision Engineer,Sarvam AI,False,,False,none,0.13,,False,False,,False,,False
CAND_0077337,258.32,150.4,116,34.4,collaborative filtering|ndcg,bm25|ranking|recommendation|semantic search,41.92,77.6,1,63.2,63.2,32,0.95,True,26,60,7.0,Staff Machine Learning Engineer,Paytm,False,,False,none,0.08,,True,False,,False,,False
CAND_0061265,258.13,129.4,101,28.4,learning-to-rank,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,55.94,60.85,2,77.2,85.4,24,0.94,True,88,120,6.6,Recommendation Systems Engineer,Zoho,False,,False,none,0.1,,False,False,,False,,False
CAND_0010257,254.85,109.4,91,18.4,collaborative filtering|search engineer,click-through|ranking|recommendation,66.0,81.8,5,69.7,90.5,35,0.72,True,39,120,6.5,Senior Data Scientist,Google,False,,False,none,0.08,,False,False,,False,,False
